ㄅ	不唄吧
ㄆ	噗
ㄇ	麼嗎嘛
ㄉ	的
ㄊ	他
ㄋ	呢那哪
ㄌ	了哩
ㄍ	個
ㄎ	顆科
ㄏ	呵哈喝
ㄐ	雞機基積績蹟激跡跡姬
ㄑ	去器
ㄒ	嘻譆
ㄓ	知隻織汁支枝
ㄔ	癡痴
ㄕ	溼師失施濕獅屍
ㄖ	日
ㄗ	吱子之
ㄘ	吃
ㄙ	絲私斯
ㄨ	巫屋烏污汙
ㄩ	迂淤瘀紆
ㄚ	啊阿丫
ㄛ	喔
ㄜ	呃噁
ㄞ	挨哀埃唉哎誒
ㄟ	欸
ㄠ	凹
ㄡ	歐齁
ㄢ	安
ㄣ	恩嗯摁
ㄤ	骯
ㄥ	鞥
ㄦ	兒耳而
婐	我
悶	們
豪	好
在	再
再	在
泥	你妳您
森	生聲升牲昇甥笙陞僧
乳	汝辱
奶	乃迺氖
粗	出
倫	人
歡	番蕃
花	發
敲	超
桑	傷觴
讚	站佔戰棧暫湛顫綻
洩	謝
挖	哇
約	曰
縮	說
荒	方
屎	死史始使駛矢豕
豬	諸
０	零○聆玲靈鈴羚
１	一
２	二
３	三
４	是四事試世市士勢識室示視氏適釋飾侍誓嗜
５	五唔舞午武鵡伍嗚
６	遛六
７	氣淒七漆棲悽
８	八罷
９	九久
Ｂ	逼屄
Ｃ	兮
Ｄ	低滴
Ｐ	批披匹劈砒屁
Ｔ	踢梯
ｉ	愛
Ｕ	優幽悠憂攸
Ｙｅｅ	易益亦藝疫意義議異億矣
Ｙｏ	唷右又幼誘柚釉
Ｈｅｎ	很
Ｊａｙ	這嗟節潔傑捷竭劫截結杰頡睫擷羯
ｎｉ	逆
Ｙａ	也
Ｈｕ	乎
Ｇｏ	狗夠苟勾
Ｐｏｗ	炮
